# L
# row: gusher you are coming from
# column: gusher you are going to
#    @,     a,     b,     c,     d,     e,     f,     g,     h,     i
  0.00,  4.52,  1.88,  3.05,  4.72,  2.17,  3.74,  3.15,  3.49,  1.68
  4.52,  0.00,  2.65,  2.66,  7.93,  5.74,  7.61,  7.65,  7.89,  6.18
  1.88,  2.65,  0.00,  1.46,  5.67,  3.27,  5.20,  5.02,  5.28,  3.54
  3.05,  2.66,  1.46,  0.00,  5.32,  3.08,  4.95,  6.11,  5.31,  4.68
  4.72,  7.93,  5.67,  5.32,  0.00,  2.56,  1.61,  7.00,  4.98,  5.83
  2.17,  5.74,  3.27,  3.08,  2.56,  0.00,  1.93,  4.78,  2.92,  3.47
  3.74,  7.61,  5.20,  4.95,  1.61,  1.93,  0.00,  5.39,  3.38,  4.23
  3.15,  7.65,  5.02,  6.11,  7.00,  4.78,  5.39,  0.00,  2.03,  1.47
  3.49,  7.89,  5.28,  5.31,  4.98,  2.92,  3.38,  2.03,  0.00,  2.05
  1.68,  6.18,  3.54,  4.68,  5.83,  3.47,  4.23,  1.47,  2.05,  0.00
