# Spawning Grounds
#     @,      a,      b,      c,      d,      e,      f,      g,      h,      i
   0.00,   9.65,   5.64,   6.41,   3.59,  16.12,  15.45,   9.80,  13.97,  11.67
   9.65,   0.00,   4.50,  16.05,  12.86,  25.77,  23.39,  11.81,  12.30,  10.76
   5.64,   4.50,   0.00,  11.98,   9.15,  21.59,  20.61,  11.37,  13.69,   8.54
   6.41,  16.05,  11.98,   0.00,   3.60,   9.73,  11.30,  12.71,  17.78,  16.17
   3.59,  12.86,   9.15,   3.60,   0.00,  13.17,  11.98,   9.48,  14.40,  14.91
  16.12,  25.77,  21.59,   9.73,  13.17,   0.00,  11.83,  20.97,  26.16,  24.17
  15.45,  23.39,  20.61,  11.30,  11.98,  11.83,   0.00,  13.78,  18.30,  26.86
   9.80,  11.81,  11.37,  12.71,   9.48,  20.97,  13.78,   0.00,   5.20,  19.81
  13.97,  12.30,  13.69,  17.78,  14.40,  26.16,  18.30,   5.20,   0.00,  22.15
  11.67,  10.76,   8.54,  16.17,  14.91,  24.17,  26.86,  19.81,  22.15,   0.00
